Random Path,30483.6917619173,30250.6402879469
Random Path,29501.0741330351,30545.4637240752
Random Path,29050.7157112732,25394.7410513594
Random Path,32177.4360383405,32177.4360383405
Random Path,32145.3639226727,
Random Path,29396.0734908135,
Random Path,30870.9804630619,
Random Path,25394.7410513594,
Random Path,30721.3526912949,
Random Path,29375.4987907223,
Random Path,28989.4826594148,
Random Path,30096.6663144975,
Random Path,31767.2560762096,
Random Path,29724.8692578228,
Random Path,31636.5865688378,
Random Path,30954.5880332237,
Random Path,28005.3591379031,
Random Path,29436.2141478272,
Random Path,30447.0396746988,
Random Path,29725.2176340632,
Random Path,29456.910199419,
Random Path,30714.4720252028,
Random Path,30904.0356059994,
Random Path,31700.3127564414,
Random Path,30129.790780856,
Random Path,30738.7572829691,
Random Path,31376.5776320991,
Random Path,31192.8658089382,
Random Path,30798.0433012605,
Random Path,30607.235686233,
Nearest Neighbour,9252.40001183061,9318.80696462016
Nearest Neighbour,9306.38894365395,9272.89347846541
Nearest Neighbour,9396.88162875504,8182.19155572567
Nearest Neighbour,8921.31569584783,10203.5361438348
Nearest Neighbour,10094.3944372517,
Nearest Neighbour,8980.91827932919,
Nearest Neighbour,10203.5361438348,
Nearest Neighbour,9306.38894365395,
Nearest Neighbour,8997.33481542611,
Nearest Neighbour,9252.40001183061,
Nearest Neighbour,9458.90684044695,
Nearest Neighbour,9575.15920359319,
Nearest Neighbour,9555.51370693974,
Nearest Neighbour,8954.97124793227,
Nearest Neighbour,9767.92952612147,
Nearest Neighbour,9293.38694510022,
Nearest Neighbour,9123.65134802413,
Nearest Neighbour,10200.8941452109,
Nearest Neighbour,10075.5100472591,
Nearest Neighbour,8182.19155572567,
Nearest Neighbour,8848.9804304472,
Nearest Neighbour,9014.99386107425,
Nearest Neighbour,9114.25890961909,
Nearest Neighbour,8997.33481542611,
Nearest Neighbour,9293.38694510022,
Nearest Neighbour,9396.88162875504,
Nearest Neighbour,10012.2343324308,
Nearest Neighbour,8921.31569584783,
Nearest Neighbour,8997.00238821187,
Nearest Neighbour,9067.74645392512,
Pairwise Exchange,8233.47591803031,8262.04549658234
Pairwise Exchange,8405.68569162083,8232.3296452269
Pairwise Exchange,8003.07983675646,7799.17532937483
Pairwise Exchange,8102.39949831824,8727.70363407983
Pairwise Exchange,7799.17532937483,
Pairwise Exchange,8439.16508073176,
Pairwise Exchange,8086.84314181798,
Pairwise Exchange,8203.75622283876,
Pairwise Exchange,8454.77388772412,
Pairwise Exchange,8066.17350130405,
Pairwise Exchange,8609.29353347043,
Pairwise Exchange,8310.96142612679,
Pairwise Exchange,8292.11861113409,
Pairwise Exchange,8346.28172286766,
Pairwise Exchange,8160.81601852403,
Pairwise Exchange,8303.8381587683,
Pairwise Exchange,8326.50585042059,
Pairwise Exchange,8548.88238196784,
Pairwise Exchange,7958.18396702707,
Pairwise Exchange,8573.89485027428,
Pairwise Exchange,8049.79696720053,
Pairwise Exchange,8292.86845295236,
Pairwise Exchange,8531.71176391608,
Pairwise Exchange,8160.35682459898,
Pairwise Exchange,8227.58587005701,
Pairwise Exchange,8215.49352274046,
Pairwise Exchange,8727.70363407983,
Pairwise Exchange,8132.8642253567,
Pairwise Exchange,8231.18337242349,
Pairwise Exchange,8066.49563504636,
Genetic,9056.02284648434,9276.9462648759
Genetic,8325.8031064313,9059.54259363185
Genetic,8667.43430064472,8104.72189338083
Genetic,10185.2081769399,13940.9147361643
Genetic,9484.58352736121,
Genetic,8375.00243032326,
Genetic,9281.52430832446,
Genetic,9063.06234077935,
Genetic,8928.891793265,
Genetic,9296.90064522985,
Genetic,13940.9147361643,
Genetic,8425.82634506203,
Genetic,9611.91827039987,
Genetic,9385.52119233298,
Genetic,10873.6329884155,
Genetic,8104.72189338083,
Genetic,8943.39012244346,
Genetic,9157.4854968943,
Genetic,8683.20864890966,
Genetic,10095.7258694912,
Genetic,8432.97240988594,
Genetic,8566.20118273537,
Genetic,9205.59382227302,
Genetic,8670.05783573467,
Genetic,8988.31272519995,
Genetic,9824.08734163823,
Genetic,9390.64531922945,
Genetic,8904.7597884364,
Genetic,8558.49720729803,
Genetic,9880.4812745686,
